name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,birth_date,birth_place,birth_country,residence_place,residence_country,lang
JANSE van RENSBURG Libbie,JANSE van RENSBURG,Libbie JANSE van RENSBURG,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,28/09/1994,LEPHALALE,South Africa,PRETORIA,South Africa,"Afrikaans, English"
DOLF Byrhandre,DOLF B,Byrhandre DOLF,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,04/07/2003,,,,,English
GRAIN Veroeshka,GRAIN V,Veroeshka GRAIN,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,11/12/1990,PAARL,South Africa,STELLENBOSCH,South Africa,English
SOLONTSI Sizophila,SOLONTSI S,Sizophila SOLONTSI,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,09/03/1992,,,,,English
FUERTES FERNANDEZ Laura,FUERTES FERNANDEZ,Laura FUERTES FERNANDEZ,Female,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,29/04/1999,GIJON,Spain,MADRID,Spain,Spanish
GHADFA DRISSI EL AISSAOUI Ayoub,GHADFA DRISSI EL ,Ayoub GHADFA DRISSI EL AISSAOUI,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,06/12/1998,MARBELLA,Spain,MADRID,Spain,Spanish
IBARRECHE CONDE Oier,IBARRECHE CONDE O,Oier IBARRECHE CONDE,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,30/05/2003,GALDACANO,Spain,BARACALDO,Spain,Spanish
LOZANO SERRANO Rafael,LOZANO SERRANO R,Rafael LOZANO SERRANO,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,27/12/2004,CORDOBA,Spain,CORDOBA,Spain,Spanish
QUILES BROTONS Jose,QUILES BROTONS J,Jose QUILES BROTONS,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,19/10/1997,ELDA,Spain,MADRID,Spain,"English, Spanish"
REYES PLA Enmanuel,REYES PLA E,Enmanuel REYES PLA,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,14/12/1992,HAVANA,Cuba,A CORUNYA,Spain,Spanish
INOSTROZA Arantza,INOSTROZA A,Arantza INOSTROZA,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,07/04/2000,,Chile,,,Spanish
FERNANDEZ Gatito,FERNANDEZ G,Gatito FERNANDEZ,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,29/03/1988,ASUNCION,Paraguay,,,"Portuguese, Spanish"
FRUTOS Rodrigo,FRUTOS R,Rodrigo FRUTOS,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,06/01/2003,PIRIBEBUY,Paraguay,ASUNCION,Paraguay,Spanish
LAMBERT Margot,LAMBERT M,Margot LAMBERT,Female,Athlete,FRA,France,France,France,France,FRA,15/03/1999,ARDECHE,France,PARIS,France,French
TRAN Anne,TRAN A,Anne TRAN,Female,Athlete,FRA,France,France,France,France,FRA,27/04/1996,NEUILLY-SUR-SEINE,France,PARIS,France,"English, French"
DELRUE Delphine,DELRUE D,Delphine DELRUE,Female,Athlete,FRA,France,France,France,France,FRA,06/11/1998,SARCELLES,France,,France,"English, French"
QI Xuefei,QI X,Xuefei QI,Female,Athlete,FRA,France,France,France,France,FRA,28/02/1992,NANJING,China,ROSTRENEN,France,"English, French, Mandarin"
CORVEE Lucas,CORVEE L,Lucas CORVEE,Male,Athlete,FRA,France,France,France,France,FRA,09/06/1993,,France,,France,French
LABAR Ronan,LABAR R,Ronan LABAR,Male,Athlete,FRA,France,France,France,France,FRA,03/05/1989,,,,,French
POPOV Toma Junior,POPOV TJ,Toma Junior POPOV,Male,Athlete,FRA,France,France,France,France,FRA,29/09/1998,SOFIA,Bulgaria,FOS-SUR-MER,France,"Bulgarian, English, French"
POPOV Christo,POPOV C,Christo POPOV,Male,Athlete,FRA,France,France,France,France,FRA,08/03/2002,SOFIA,Bulgaria,FOS-SUR-MER,France,"Bulgarian, English, French, Spanish"
GICQUEL Thom,GICQUEL T,Thom GICQUEL,Male,Athlete,FRA,France,France,France,France,FRA,12/01/1999,TOURS,France,PARIS,France,"English, French"
de JESUS Ronaldo,de JESUS R,Ronaldo de JESUS,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,21/04/2001,SAN PATRICIO,Paraguay,ASUNCION,Paraguay,Spanish
NIEMANN Joaquin,NIEMANN J,Joaquin NIEMANN,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,07/11/1998,SANTIAGO,Chile,,,"English, Spanish"
PEREIRA Mito,PEREIRA M,Mito PEREIRA,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,31/03/1995,SANTIAGO,Chile,PIRQUE,Chile,"English, Spanish"
SSENGONZI Jesse Ssuubi,SSENGONZI JS,Jesse Ssuubi SSENGONZI,Male,Athlete,UGA,Uganda,Uganda,Uganda,Uganda,UGA,27/08/2002,,United States,"CARY, NC",United States,English
MUZITO Gloria Anna,MUZITO GA,Gloria Anna MUZITO,Female,Athlete,UGA,Uganda,Uganda,Uganda,Uganda,UGA,29/11/2002,SUNDVALL,Sweden,"TALLAHASSEE, FL",United States,"English, Swedish"
VIERA Wilder,VIERA W,Wilder VIERA,Male,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,04/03/2002,YPANE,Paraguay,ASUNCION,Paraguay,Spanish
PAQUET Charles,PAQUET C,Charles PAQUET,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,12/07/1997,"SEPT-?LES, QC",Canada,,Spain,"English, French"
MISLAWCHUK Tyler,MISLAWCHUK T,Tyler MISLAWCHUK,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,19/08/1994,"WINNIPEG, MB",Canada,"OAK BLUFF, MB",Canada,English
LEGAULT Emy,LEGAULT E,Emy LEGAULT,Female,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,05/04/1996,"L??LE PERROT, QC",Canada,"MONTREAL, QC",Canada,English
ACOSTA FERNANDEZ Yasmani,ACOSTA FERNANDEZ Y,Yasmani ACOSTA FERNANDEZ,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,16/07/1988,MATANZAS,Cuba,SANTIAGO,Chile,Spanish
