person,person_label,genders,dobs,countries,continents,hasMiddleName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason,surName,lastName,iso_country
http://www.wikidata.org/entity/Q100880196,Facundo Silvera,male,2001-11-18T00:00:00Z,Uruguay,South America,False,False,Facundo Silvera,False,,Facundo,Silvera,UY
http://www.wikidata.org/entity/Q100880578,Cass Matheus,male,1982-02-25T00:00:00Z,Brazil,South America,False,False,Cass Matheus,False,,Cass,Matheus,BR
http://www.wikidata.org/entity/Q100881746,Jorge Vidal Casas,male,1947-01-01T00:00:00Z,Argentina,South America,True,False,Jorge Vidal Casas,True,middleName,,,AR
http://www.wikidata.org/entity/Q100883869,Jhan Paul Mejia,male,1994-06-15T00:00:00Z,Colombia,South America,True,False,Jhan Paul Mejia,True,middleName,,,CO
http://www.wikidata.org/entity/Q100886213,Iverson Molinar,male,1999-12-03T00:00:00Z,Panama,North America,False,False,Iverson Molinar,False,,Iverson,Molinar,PA
http://www.wikidata.org/entity/Q100887402,Edgar Moreno,male,1981-08-30T00:00:00Z,Colombia,South America,False,False,Edgar Moreno,False,,Edgar,Moreno,CO
http://www.wikidata.org/entity/Q100889243,Luis Murillo,male,1961-04-23T00:00:00Z,Colombia,South America,False,False,Luis Murillo,False,,Luis,Murillo,CO
http://www.wikidata.org/entity/Q100889402,Tymell Murphy,male,1990-12-30T00:00:00Z,Panama,North America,False,False,Tymell Murphy,False,,Tymell,Murphy,PA
http://www.wikidata.org/entity/Q100889640,Guillermo Myers,male,1968-03-17T00:00:00Z,Panama,North America,False,False,Guillermo Myers,False,,Guillermo,Myers,PA
http://www.wikidata.org/entity/Q100890424,Juan Carlos Hitters,male,1941-09-25T00:00:00Z,Argentina,South America,True,False,Juan Carlos Hitters,True,middleName,,,AR
http://www.wikidata.org/entity/Q100890440,Rodrigo Moura Visoni,male,1980-03-21T00:00:00Z,Brazil,South America,True,False,Rodrigo Moura Visoni,True,middleName,,,BR
http://www.wikidata.org/entity/Q100890441,Felipe Cavalcante,male,1985-01-01T00:00:00Z,Brazil,South America,False,False,Felipe Cavalcante,False,,Felipe,Cavalcante,BR
http://www.wikidata.org/entity/Q100890443,Rodolfo Nogueira,male,1986-01-01T00:00:00Z,Brazil,South America,False,False,Rodolfo Nogueira,False,,Rodolfo,Nogueira,BR
http://www.wikidata.org/entity/Q100890444,Dib Carneiro Neto,male,1961-02-21T00:00:00Z,Brazil,South America,True,False,Dib Carneiro Neto,True,middleName,,,BR
http://www.wikidata.org/entity/Q100890447,Adalberto Valderrama Gerbasi,male,1952-12-16T00:00:00Z,Brazil,South America,True,False,Adalberto Valderrama Gerbasi,True,middleName,,,BR
http://www.wikidata.org/entity/Q100890925,Parrerito,male,1953-06-20T00:00:00Z,Brazil,South America,True,True,Parrerito,True,middleName|noLastName,,,BR
http://www.wikidata.org/entity/Q100894358,John Ortiz,male,1983-07-15T00:00:00Z,Colombia,South America,False,False,John Ortiz,False,,John,Ortiz,CO
http://www.wikidata.org/entity/Q100894467,Roque Osorio,male,1976-01-24T00:00:00Z,Venezuela,South America,False,False,Roque Osorio,False,,Roque,Osorio,VE
http://www.wikidata.org/entity/Q100894508,J.C. Otero,male,1985-11-14T00:00:00Z,Colombia,South America,False,False,J.C. Otero,True,punctuation|initials,J.C.,Otero,CO
http://www.wikidata.org/entity/Q100894744,Trelonnie Owens,male,1971-10-25T00:00:00Z,Uruguay,South America,False,False,Trelonnie Owens,False,,Trelonnie,Owens,UY
http://www.wikidata.org/entity/Q100894961,Carlos Paez,male,2000-01-06T00:00:00Z,Venezuela,South America,False,False,Carlos Paez,False,,Carlos,Paez,VE
http://www.wikidata.org/entity/Q100895309,Keving Palacios,male,1984-09-29T00:00:00Z,Venezuela,South America,False,False,Keving Palacios,False,,Keving,Palacios,VE
http://www.wikidata.org/entity/Q100895311,Robert Palacios,male,1985-11-27T00:00:00Z,Venezuela,South America,False,False,Robert Palacios,False,,Robert,Palacios,VE
http://www.wikidata.org/entity/Q100895846,Gabriel Parizzia,male,1965-07-04T00:00:00Z,Argentina,South America,False,False,Gabriel Parizzia,False,,Gabriel,Parizzia,AR
http://www.wikidata.org/entity/Q100897207,Matias Etchegoyen,male,1995-02-24T00:00:00Z,Argentina,South America,False,False,Matias Etchegoyen,False,,Matias,Etchegoyen,AR
http://www.wikidata.org/entity/Q100897627,José Carabalí,male,1997-05-19T00:00:00Z,Ecuador,South America,False,False,José Carabalí,True,non_ascii,José,Carabalí,EC
http://www.wikidata.org/entity/Q100898384,Rodrigo Peggau,male,1988-06-24T00:00:00Z,Brazil,South America,False,False,Rodrigo Peggau,False,,Rodrigo,Peggau,BR
