,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source
109,Denise Fernandes,Denise,Fernandes,female,,Africa,1990,False,False,wikidata
110,Agatha Cilliers,Agatha,Cilliers,female,ZA,Africa,1969,False,False,wikidata
111,Alemu Megertu,Alemu,Megertu,female,ET,Africa,1997,False,False,wikidata
112,Rahma Tusa,Rahma,Tusa,female,ET,Africa,1993,False,False,wikidata
113,Phumzile Sitole,Phumzile,Sitole,female,ZA,Africa,1989,False,False,wikidata
114,Rosemary Aluoch,Rosemary,Aluoch,female,KE,Africa,1976,False,False,wikidata
115,Adanech Abebe,Adanech,Abebe,female,ET,Africa,1950,False,False,wikidata
116,Charlbi Dean,Charlbi,Dean,female,ZA,Africa,1990,False,False,wikidata
117,Mariam Selim,Mariam,Selim,female,EG,Africa,2002,False,False,wikidata
118,Sisay Meseret Gola,,,female,ET,Africa,1997,True,False,wikidata
119,Virginia Khunguni,Virginia,Khunguni,female,MW,Africa,1989,False,False,wikidata
120,Leslie Witz,Leslie,Witz,female,ZA,Africa,1959,False,False,wikidata
121,Aisha Tsamiya,Aisha,Tsamiya,female,NG,Africa,1992,False,False,wikidata
122,Leila Nakabira,Leila,Nakabira,female,UG,Africa,1993,False,False,wikidata
123,Fati Washa,Fati,Washa,female,NG,Africa,1993,False,False,wikidata
124,Simone Ackermann,Simone,Ackermann,female,ZA,Africa,1990,False,False,wikidata
125,Karabo Poppy Moletsane,,,female,ZA,Africa,1993,True,False,wikidata
126,Hajia Jumai Bello,,,female,NG,Africa,1941,True,False,wikidata
127,Fati Shu'uma,,,female,NG,Africa,1994,False,False,wikidata
128,Patricia Francourt,Patricia,Francourt,female,SC,Africa,1965,False,False,wikidata
129,Devika Vidot,Devika,Vidot,female,SC,Africa,1988,False,False,wikidata
130,Yola Mgogwana,Yola,Mgogwana,female,ZA,Africa,2008,False,False,wikidata
131,Aliaa Saleh,Aliaa,Saleh,female,EG,Africa,2004,False,False,wikidata
132,Sana Elsherbiny,Sana,Elsherbiny,female,EG,Africa,2004,False,False,wikidata
133,Polina Fouda,Polina,Fouda,female,EG,Africa,2003,False,False,wikidata
134,Salma Saleh,Salma,Saleh,female,EG,Africa,2003,False,False,wikidata
135,Tia Sobhy,Tia,Sobhy,female,EG,Africa,2003,False,False,wikidata
