index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
119,Lihle Dhlomo,Lihle,female,unknown,ZA,False,genderGuesser,unknown
120,Rebecca Majeka,Rebecca,female,female,ZA,False,genderGuesser,female
121,Helena Amoako,Helena,female,female,GH,False,genderGuesser,female
122,Dora Manu,Dora,female,female,GH,False,genderGuesser,female
123,Yetunde Arobieke,Yetunde,female,unknown,NG,False,genderGuesser,unknown
124,Mable Esendi,Mable,female,female,KE,False,genderGuesser,female
125,Florence Wanjiru,Florence,female,female,KE,False,genderGuesser,female
126,Emebet Shiferaw,Emebet,female,unknown,ET,False,genderGuesser,unknown
127,Ilse Wicksell,Ilse,female,female,ZA,False,genderGuesser,female
128,Berhane Herpassa,Berhane,female,unknown,ET,False,genderGuesser,unknown
129,Mayra Rondo,Mayra,female,female,GQ,False,genderGuesser,female
130,Linah Cheruiyot,Linah,female,unknown,KE,False,genderGuesser,unknown
131,Regina Chemeli,Regina,female,female,KE,False,genderGuesser,female
132,Esther Ndoumbé,Esther,female,female,CM,False,genderGuesser,female
133,Geneviève Obone,Geneviève,female,female,GA,False,genderGuesser,female
134,Diane Zancy,Diane,female,female,GA,False,genderGuesser,female
135,Rethabile Ramaphakela,Rethabile,female,unknown,ZA,False,genderGuesser,unknown
136,Pearl Jansen,Pearl,female,female,ZA,False,genderGuesser,female
137,Viola Jelagat,Viola,female,female,KE,False,genderGuesser,female
138,Martha Udom,Martha,female,female,NG,False,genderGuesser,female
139,Ismahane Lahmar,Ismahane,female,unknown,TN,False,genderGuesser,unknown
140,Yejide Kilanko,Yejide,female,unknown,NG,False,genderGuesser,unknown
141,Edna Noy,Edna,female,female,ZA,False,genderGuesser,female
142,Mouna Sabri,Mouna,female,female,MA,False,genderGuesser,female
143,Ajibola Ponnle,Ajibola,female,unknown,NG,False,genderGuesser,unknown
144,Aya Samaha,Aya,female,female,EG,False,genderGuesser,female
145,Adaku Ufere-Awoonor,Adaku,female,unknown,NG,False,genderGuesser,unknown
146,Oceanne Iradukunda,Oceanne,female,unknown,RW,False,genderGuesser,unknown
147,Laila Gohar,Laila,female,female,EG,False,genderGuesser,female
148,Tanatsei Gambura,Tanatsei,female,unknown,ZW,False,genderGuesser,unknown
149,Mosun Belo-Olusoga,Mosun,female,unknown,NG,False,genderGuesser,unknown
150,Arame Fall,Arame,female,unknown,SN,False,genderGuesser,unknown
151,Nomvelo Makhanya,Nomvelo,female,unknown,ZA,False,genderGuesser,unknown
152,Nunu Khumalo,Nunu,female,female,ZA,False,genderGuesser,female
153,Gcina Nkosi,Gcina,female,unknown,ZA,False,genderGuesser,unknown
154,Lara Sousa,Lara,female,female,MZ,False,genderGuesser,female
155,Sanaâ Mssoudy,Sanaâ,female,unknown,MA,False,genderGuesser,unknown
156,Jihan al-Mosli,Jihan,female,male,,False,genderGuesser,mostly_male
157,Rosebell Kagumire,Rosebell,female,unknown,UG,False,genderGuesser,unknown
158,Francesca Emanuel,Francesca,female,female,NG,False,genderGuesser,female
159,Lorcia Cooper,Lorcia,female,unknown,ZA,False,genderGuesser,unknown
160,Obianuju Ekeocha,Obianuju,female,unknown,NG,False,genderGuesser,unknown
161,Priscilla Kuye,Priscilla,female,female,NG,False,genderGuesser,female
162,Sinatu Ojikutu,Sinatu,female,unknown,NG,False,genderGuesser,unknown
163,Titilayo Laoye-Tomori,Titilayo,female,unknown,NG,False,genderGuesser,unknown
