index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
250,Natasha Joubert,Natasha,female,female,ZA,False,genderGuesser,female
251,Mercy Kainobwisho,Mercy,female,unknown,UG,False,genderGuesser,unknown
252,Radwa Sayed,Radwa,female,unknown,EG,False,genderGuesser,unknown
253,Souad Labbize,Souad,female,female,DZ,False,genderGuesser,female
254,Faith Mazibuko,Faith,female,female,ZA,False,genderGuesser,female
255,Leila Beratto,Leila,female,female,DZ,False,genderGuesser,female
256,Victoire Agbanrin-Elisha,Victoire,female,female,BJ,False,genderGuesser,female
257,Dawn Lindberg,Dawn,female,female,ZA,False,genderGuesser,female
258,Honorine Ngou,Honorine,female,female,GA,False,genderGuesser,female
259,Mireille Tchengang,Mireille,female,female,CM,False,genderGuesser,female
260,Jane Karuku,Jane,female,female,KE,False,genderGuesser,female
261,Zahia Benarous,Zahia,female,female,DZ,False,genderGuesser,female
262,Inviolata Mbwavi,Inviolata,female,unknown,KE,False,genderGuesser,unknown
263,Sophy Aiida,Sophy,female,female,CM,False,genderGuesser,female
264,Yolanda Dreyer,Yolanda,female,female,ZA,False,genderGuesser,female
265,Berhane Ras-Work,Berhane,female,unknown,ET,False,genderGuesser,unknown
266,Beauty Ngxongo,Beauty,female,unknown,ZA,False,genderGuesser,unknown
267,Fatiha Targhaoui,Fatiha,female,female,MA,False,genderGuesser,female
268,Signoline Kanyamuneza,Signoline,female,unknown,BI,False,genderGuesser,unknown
269,Charné Griesel,Charné,female,unknown,ZA,False,genderGuesser,unknown
270,Narindra Rakotovao,Narindra,female,unknown,MG,False,genderGuesser,unknown
271,Lariba Abudu,Lariba,female,unknown,GH,False,genderGuesser,unknown
272,Enku Ekuta,Enku,female,unknown,NG,False,genderGuesser,unknown
273,Cornelia Glèlè,Cornelia,female,female,BJ,False,genderGuesser,female
274,Anastasiya-Alexandra Nenova,Anastasiya-Alexandra,female,unknown,ZA,False,genderGuesser,unknown
275,Marie Branser,Marie,female,female,GN,False,genderGuesser,female
276,Dakoa Newman,Dakoa,female,unknown,GH,False,genderGuesser,unknown
277,Erin Sterkenburg,Erin,female,,ZA,False,genderGuesser,mostly_female
278,Georgiana Dorward,Georgiana,female,female,ZA,False,genderGuesser,female
279,Sasa Klaas,Sasa,female,unknown,BW,False,genderGuesser,unknown
280,Dorcas Affo-Toffey,Dorcas,female,female,GH,False,genderGuesser,female
281,Manamba Kanté,Manamba,female,unknown,GN,False,genderGuesser,unknown
282,Ndidi Okezie,Ndidi,female,unknown,NG,False,genderGuesser,unknown
283,Nzambi Matee,Nzambi,female,unknown,KE,False,genderGuesser,unknown
284,Myriam Belkiri,Myriam,female,female,DZ,False,genderGuesser,female
285,Farah N'Ser,Farah,female,female,MA,False,genderGuesser,female
286,Caroline Kwambai,Caroline,female,female,KE,False,genderGuesser,female
287,Caroline Chepkwony,Caroline,female,female,KE,False,genderGuesser,female
288,Halima Bah,Halima,female,female,GN,False,genderGuesser,female
289,Caroline Rotich,Caroline,female,female,KE,False,genderGuesser,female
290,Najwa Taib,Najwa,female,female,MA,False,genderGuesser,female
291,Anissa Maoulida,Anissa,female,female,KM,False,genderGuesser,female
292,Zaharouna Haoudadji,Zaharouna,female,unknown,KM,False,genderGuesser,unknown
293,Zuwera Ibrahimah,Zuwera,female,unknown,GH,False,genderGuesser,unknown
