,Unnamed: 0,person,person_label,genders,dobs,countries,continents,hasMiddleName,hasProblematicName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason
56,56.0,http://www.wikidata.org/entity/Q100376295,Thouria El Hadraoui,female,1957-01-01T00:00:00Z,Morocco,Africa,True,False,False,Thouria El Hadraoui,False,
57,57.0,http://www.wikidata.org/entity/Q100376310,Sakina Safadi,female,1952-01-01T00:00:00Z,Morocco,Africa,False,False,False,Sakina Safadi,False,
58,58.0,http://www.wikidata.org/entity/Q100383566,Laura Musanase,female,1993-01-01T00:00:00Z,Tanzania,Africa,False,False,False,Laura Musanase,False,
59,59.0,http://www.wikidata.org/entity/Q100384329,Munezero Aline,female,1994-01-01T00:00:00Z,Rwanda,Africa,False,False,False,Munezero Aline,False,
60,60.0,http://www.wikidata.org/entity/Q100396318,Girley Jazama,female,1984-01-01T00:00:00Z,Namibia,Africa,False,False,False,Girley Jazama,False,
61,61.0,http://www.wikidata.org/entity/Q100415817,Nadège Uwamwezi,female,1993-01-01T00:00:00Z,Rwanda,Africa,False,False,False,Nadège Uwamwezi,True,non_ascii
62,62.0,http://www.wikidata.org/entity/Q100418524,Dora Francisca Edu-Buandoh,female,1962-04-01T00:00:00Z,Ghana,Africa,True,False,False,Dora Francisca Edu-Buandoh,True,hyphen
63,63.0,http://www.wikidata.org/entity/Q100427228,Martine Oulabou,female,1959-01-01T00:00:00Z,Gabon,Africa,False,False,False,Martine Oulabou,False,
64,64.0,http://www.wikidata.org/entity/Q100431141,Ayyam Sureau,female,1965-01-01T00:00:00Z,Egypt,Africa,False,False,False,Ayyam Sureau,False,
65,65.0,http://www.wikidata.org/entity/Q100433730,Catherine Kamau,female,1987-02-03T00:00:00Z,Kenya,Africa,False,False,False,Catherine Kamau,False,
66,66.0,http://www.wikidata.org/entity/Q100433813,Aïcha Boro,female,1978-05-24T00:00:00Z,Burkina Faso,Africa,False,False,False,Aïcha Boro,True,non_ascii
67,67.0,http://www.wikidata.org/entity/Q100436816,Fay Goldie,female,1904-01-01T00:00:00Z,South Africa,Africa,False,False,False,Fay Goldie,False,
68,68.0,http://www.wikidata.org/entity/Q100439059,Aderonke Adeola,female,1990-01-01T00:00:00Z,Nigeria,Africa,False,False,False,Aderonke Adeola,False,
69,69.0,http://www.wikidata.org/entity/Q100489282,Pascale Lamche,female,1960-07-01T00:00:00Z,South Africa,Africa,False,False,False,Pascale Lamche,False,
70,70.0,http://www.wikidata.org/entity/Q100535753,Kagendo Murungi,female,1971-12-07T00:00:00Z,Kenya,Africa,False,False,False,Kagendo Murungi,False,
71,71.0,http://www.wikidata.org/entity/Q100543825,Omelga Mthiyane,female,1977-01-01T00:00:00Z,South Africa,Africa,False,False,False,Omelga Mthiyane,False,
72,72.0,http://www.wikidata.org/entity/Q100550045,Kokunre Agbontaen Eghafona,female,1959-10-01T00:00:00Z,Nigeria,Africa,True,False,False,Kokunre Agbontaen Eghafona,False,
73,73.0,http://www.wikidata.org/entity/Q100551511,Brillian Jepkorir Kipkoech,female,1995-03-01T00:00:00Z,Kenya,Africa,True,False,False,Brillian Jepkorir Kipkoech,False,
74,74.0,http://www.wikidata.org/entity/Q100560895,Alfa Demmellash,female,1979-01-01T00:00:00Z,Ethiopia,Africa,False,False,False,Alfa Demmellash,False,
